PSPID,PlotMeas,SpeciesCode,Location,Exclude,Status,Age,Stocking,MDH,BA,TSV
PSP-037,PSP-037 48,EP,Nowa,FALSE,Open,3.99,1120,19.7,17.94198122,127.2445308
PSP-038,PSP-038 12,EP,Yaubgubu,FALSE,Open,1.02,1000,6.95,2.892778515,7.237731846
PSP-038,PSP-038 24,EP,Yaubgubu,FALSE,Open,2.07,800,12.35,6.963308701,30.95887048
PSP-038,PSP-038 36,EP,Yaubgubu,FALSE,Open,3.06,800,15.75,10.51773804,59.63557471
PSP-038,PSP-038 48,EP,Yaubgubu,FALSE,Open,3.99,840,18.5,13.27024445,88.37982803
PSP-039,PSP-039 6,EP,Moto ,FALSE,Open,0.55,1200,2.11,0,0
PSP-039,PSP-039 12,EP,Moto ,FALSE,Open,1.04,1040,5.61,2.686690037,5.426039199
PSP-039,PSP-039 18,EP,Moto ,FALSE,Open,1.54,1000,8.4,5.746224291,17.37658226
PSP-039,PSP-039 24,EP,Moto ,FALSE,Open,2.04,1000,14.065,8.628918294,43.69166489
PSP-039,PSP-039 36,EP,Moto ,FALSE,Open,3.22,1000,19.7,11.44466496,81.16556388
PSP-039,PSP-039 48,EP,Moto ,FALSE,Open,3.98,840,19.5,12.82423254,90.02611243
PSP-041,PSP-041 12,EP,Ngaroraf ,FALSE,Open,1.04,1200,6.2,2.835067458,6.327870567
PSP-041,PSP-041 18,EP,Ngaroraf ,FALSE,Open,1.72,1120,19.25,6.927274633,48.00601321
PSP-041,PSP-041 24,EP,Ngaroraf ,FALSE,Open,2.11,1080,11.05,9.23760187,36.74718024
PSP-041,PSP-041 36,EP,Ngaroraf ,FALSE,Open,3.03,1040,16.05,12.20263702,70.50683668
PSP-041,PSP-041 48,EP,Ngaroraf ,FALSE,Open,3.97,920,18.3,13.00371173,85.66845286
PSP-042,PSP-042 6,EP,Watung,FALSE,Open,0.52,1200,2.215,0,0
PSP-042,PSP-042 12,EP,Watung,FALSE,Open,1.04,1120,5.85,2.192706008,4.617838854
PSP-042,PSP-042 24,EP,Watung,FALSE,Open,1.9,1080,14.5,9.320696996,48.65403832
PSP-042,PSP-042 36,EP,Watung,FALSE,Open,3.02,1080,18.4,13.37812674,88.61671153
PSP-042,PSP-042 48,EP,Watung,FALSE,Open,4.09,1120,22.05,19.36443154,153.7148576
PSP-043,PSP-043 6,EP,Watung,FALSE,Open,0.52,1120,1.64,0,0
PSP-043,PSP-043 12,EP,Watung,FALSE,Open,1.04,1120,5.84,2.387327673,5.019117701
PSP-043,PSP-043 24,EP,Watung,FALSE,Open,1.9,1040,11.25,7.781096684,31.51344157
PSP-043,PSP-043 36,EP,Watung,FALSE,Open,3.02,1080,17.3,11.73749281,73.10110521
PSP-043,PSP-043 48,EP,Watung,FALSE,Open,4.09,840,21.4,13.04423827,100.4928117
PSP-044,PSP-044 6,EP,Wamanga,FALSE,Open,0.65,1200,3.155,0,0
PSP-044,PSP-044 12,EP,Wamanga,FALSE,Open,1,1120,5.405,2.096698937,4.079756792
PSP-044,PSP-044 24,EP,Wamanga,FALSE,Open,1.99,1040,12.1,7.158307357,31.18158685
PSP-044,PSP-044 36,EP,Wamanga,FALSE,Open,3.03,1080,15,11.64214547,62.86758555
PSP-044,PSP-044 48,EP,Wamanga,FALSE,Open,4.05,920,17.3,14.26405587,88.83653995
PSP-045,PSP-045 6,EP,Ngaromugish,FALSE,Open,0.52,1240,2.045,3.019981602,2.223310455
PSP-045,PSP-045 12,EP,Ngaromugish,FALSE,Open,0.97,1240,5.02,0.987496819,1.784604251
PSP-045,PSP-045 18,EP,Ngaromugish,FALSE,Open,1.68,1040,11.9,5.003206212,21.43373541
PSP-045,PSP-045 24,EP,Ngaromugish,FALSE,Open,2,1040,13.3,6.372312291,30.51063125
PSP-045,PSP-045 36,EP,Ngaromugish,FALSE,Open,2.99,1040,16.4,8.944491276,52.80827649
PSP-045,PSP-045 48,EP,Ngaromugish,FALSE,Open,4.03,960,17.55,10.68050396,67.47942402
